Time,PV,SP,OP,Error,ts
1,-0.47375,-1.0239,0.031058,-0.49595,20
2,-0.43083,-1.0873,-0.21771,-0.64845,20
3,-0.64431,-1.1971,-0.42817,-0.42751,20
4,-0.41691,-1.3363,-0.80517,-0.9867,20
5,-0.33917,-1.5359,-1.1419,-1.3699,20
6,-0.40762,-1.7137,-1.6701,-1.4794,20
7,-0.42967,-1.9272,-2.2078,-1.7121,20
8,-1.6177,-2.0664,-2.3838,0.11406,20
9,-2.1526,-2.2876,-2.1369,0.73579,20
10,-2.1479,-2.3757,-1.9074,0.61652,20
11,-2.3022,-2.4175,-1.6796,0.82381,20
12,-2.2906,-2.4391,-1.4022,0.77687,20
13,-2.5099,-2.3463,-1.0807,1.2637,20
14,-2.5656,-2.1777,-0.69418,1.5707,20
15,-2.1618,-1.9612,-0.26554,1.164,20
16,-1.4959,-1.6766,-0.16028,0.40148,20
17,-1.1768,-1.4291,-0.064612,0.17665,20
18,-1.359,-1.2265,0.14585,0.73973,20
19,-1.1246,-1.0409,0.27789,0.5794,20
20,-0.87171,-0.92956,0.38508,0.29395,20
21,-0.50161,-0.87544,0.47689,-0.26133,20
22,-0.67331,-0.80119,0.39081,0.12189,20
23,-0.63619,-0.80273,0.38695,0.057381,20
24,-0.47608,-0.81201,0.34871,-0.22418,20
25,-0.4784,-0.8878,0.23006,-0.31607,20
26,-0.43199,-0.95432,0.096087,-0.47836,20
27,-0.3937,-1.1012,-0.12011,-0.72863,20
28,-0.76613,-1.3193,-0.40139,-0.37668,20
29,-0.55845,-1.5158,-0.7267,-0.97496,20
30,-0.25332,-1.7493,-1.2242,-1.7844,20
31,-0.28233,-1.938,-1.8117,-1.9741,20
32,-0.37746,-2.0478,-2.5101,-1.9525,20
33,-1.7569,-2.1128,-2.7818,0.29004,20
34,-2.4612,-2.1561,-2.4565,1.4221,20
35,-2.4565,-2.0602,-1.9934,1.5355,20
36,-2.6851,-1.9921,-1.4673,2.0067,20
37,-2.7593,-1.8792,-0.84149,2.2745,20
38,-1.7094,-1.6905,-0.28466,0.74364,20
39,-1.482,-1.5297,-0.14309,0.56375,20
40,-1.033,-1.4431,-0.12204,-0.083411,20
41,-1.2012,-1.2698,-0.087593,0.41909,20
42,-0.91463,-1.1415,-0.06081,0.098418,20
43,-1.1037,-1.0564,0.092284,0.52466,20
44,-1.084,-0.97905,0.21093,0.58919,20
45,-0.46332,-0.90482,0.24918,-0.363,20
46,-0.83458,-0.87388,0.18029,0.30177,20
47,-0.50393,-0.85841,0.12293,-0.23589,20
48,-0.54105,-0.90017,0.07509,-0.22612,20
49,-0.42503,-1.044,-0.14689,-0.60348,20
50,-0.42155,-1.1801,-0.32484,-0.7814,20
51,-0.50161,-1.3472,-0.6674,-0.85764,20
52,-0.37397,-1.5529,-1.0271,-1.3328,20
53,-0.37862,-1.7137,-1.5954,-1.5283,20
54,-0.32294,-1.8406,-2.0968,-1.7824,20
55,-0.77889,-1.9225,-2.6249,-1.1177,20
56,-2.1955,-2.0401,-2.5905,1.121,20
57,-2.2558,-2.0958,-2.29,1.1523,20
58,-2.4333,-2.0772,-1.8825,1.4749,20
59,-2.5215,-1.9999,-1.3926,1.7212,20
60,-2.5934,-1.8607,-0.79366,2.0184,20
61,-1.4182,-1.7292,-0.36887,0.20401,20
62,-1.4762,-1.5544,-0.25408,0.52269,20
63,-0.91,-1.3874,-0.2311,-0.22027,20
64,-1.1153,-1.2544,-0.18133,0.29393,20
65,-0.98425,-1.1399,-0.12204,0.21769,20
66,-0.96452,-1.0734,0.0272,0.26854,20
67,-0.82181,-1.0069,0.14585,0.1121,20
68,-0.64431,-0.91409,0.11907,-0.069709,20
69,-0.66171,-0.90792,-0.034027,-0.032584,20
70,-0.38907,-0.94966,-0.10291,-0.54481,20
71,-0.34846,-0.98215,-0.21198,-0.65431,20
72,-0.51205,-1.0997,-0.4129,-0.52722,20
73,-0.4726,-1.2157,-0.60424,-0.74034,20
74,-0.64199,-1.3827,-0.84149,-0.66605,20
75,-0.16399,-1.5204,-1.2721,-1.6456,20
76,-0.47724,-1.6844,-1.7504,-1.3249,20
77,-0.1199,-1.8158,-2.2384,-2.0933,20
78,-0.84387,-1.9535,-2.6728,-1.0473,20
79,-2.112,-2.0215,-2.4814,1.0037,20
80,-2.1456,-2.0555,-2.1485,1.0174,20
81,-2.3104,-2.0045,-1.7811,1.3595,20
82,-2.4821,-1.9195,-1.2893,1.7564,20
83,-2.2964,-1.8034,-0.83003,1.5902,20
84,-1.3648,-1.5745,-0.3287,0.30957,20
85,-1.4843,-1.3889,-0.22344,0.74558,20
86,-1.2708,-1.2668,-0.081862,0.54028,20
87,-0.97032,-1.1569,0.082695,0.17271,20
88,-0.91812,-1.061,0.090355,0.20595,20
89,-0.9622,-0.93731,0.14398,0.43666,20
90,-0.55845,-0.89708,0.18795,-0.19289,20
91,-0.62923,-0.85378,0.27596,-0.018882,20
92,-0.31249,-0.83367,0.29894,-0.52724,20
93,-0.34149,-0.83058,0.18222,-0.47445,20
94,-0.29161,-0.83677,0.032986,-0.56634,20
95,-0.39139,-0.83367,-0.070344,-0.39427,20
96,-0.5631,-0.95276,-0.27893,-0.25545,20
97,-0.45984,-1.1121,-0.47986,-0.63084,20
98,-0.54685,-1.3023,-0.74968,-0.7247,20
99,-0.29393,-1.5173,-1.1725,-1.4227,20
100,-0.33105,-1.7045,-1.6088,-1.5967,20
101,0.16319,-1.887,-2.2307,-2.6603,20
102,-1.3787,-2.0246,-2.7187,-0.23591,20
103,-2.0725,-2.1329,-2.4929,0.79643,20
104,-2.3811,-2.1576,-2.2231,1.2852,20
105,-2.5018,-2.1252,-1.8078,1.5296,20
106,-1.9658,-1.9581,-1.385,0.83747,20
107,-2.2558,-1.7926,-0.78026,1.5355,20
108,-0.97264,-1.556,-0.33636,-0.3278,20
109,-1.2824,-1.3271,-0.18899,0.4836,20
110,-1.5005,-1.1585,0.031058,1.0643,20
111,-0.84387,-0.98989,0.17649,0.17077,20
112,-0.99121,-0.83521,0.25304,0.6146,20
113,-0.84038,-0.7316,0.30468,0.4914,20
114,-0.2336,-0.69137,0.35444,-0.4803,20
115,-0.11177,-0.71766,0.23965,-0.71884,20
116,-0.31713,-0.6759,0.086553,-0.31998,20
117,-0.28,-0.68364,-0.095253,-0.39233,20
118,-0.15818,-0.69447,-0.27513,-0.61131,20
119,-0.14542,-0.73932,-0.45881,-0.68951,20
120,0.042533,-0.77025,-0.68459,-1.0453,20
121,-0.13034,-0.88161,-0.9085,-0.89479,20
122,-0.28929,-1.0781,-1.3773,-0.87525,20
123,-0.24752,-1.3023,-1.6892,-1.2291,20
124,-0.79977,-1.5204,-2.0413,-0.57416,20
125,-1.0573,-1.7818,-2.091,-0.47051,20
126,-1.7987,-1.972,-1.9934,0.53834,20
127,-1.7801,-2.0741,-1.8844,0.37801,20
128,-1.8938,-2.0973,-1.7581,0.54031,20
129,-1.8358,-2.0401,-1.5706,0.51487,20
130,-1.75,-1.9334,-1.3524,0.5051,20
131,-1.9704,-1.8127,-1.0998,1.0291,20
132,-2.0864,-1.6488,-0.74009,1.4318,20
133,-2.0284,-1.4616,-0.39758,1.5707,20
134,-0.75453,-1.3271,-0.19665,-0.40601,20
135,-0.98192,-1.1678,-0.06081,0.17859,20
136,-1.0098,-0.97286,-0.0091172,0.47187,20
137,-0.81137,-0.85378,0.082695,0.28807,20
138,-0.7,-0.77334,0.21474,0.20206,20
139,-0.86706,-0.7517,0.37356,0.51096,20
140,-0.55381,-0.73004,0.22047,0.010443,20
141,-0.48651,-0.80429,0.07509,-0.19682,20
142,-0.22663,-0.85378,-0.081862,-0.69734,20
143,0.088941,-0.95895,-0.44349,-1.3621,20
144,-0.020123,-1.1368,-0.68845,-1.4032,20
145,-0.10018,-1.2435,-1.0673,-1.4031,20
146,-0.41111,-1.4183,-1.4806,-1.1001,20
147,-0.16863,-1.573,-2.0355,-1.7042,20
148,-0.79514,-1.655,-2.5216,-0.75208,20
149,-1.7894,-1.7601,-2.4317,0.79055,20
150,-1.6142,-1.8297,-2.1924,0.40734,20
151,-1.8973,-1.8916,-1.9131,0.8062,20
152,-1.9971,-1.8591,-1.5667,1.0154,20
153,-2.1294,-1.7771,-1.1381,1.3419,20
154,-2.0284,-1.6534,-0.64635,1.3282,20
155,-1.2244,-1.5142,-0.30957,0.14927,20
156,-1.1513,-1.3889,-0.21005,0.18445,20
157,-0.80441,-1.2559,-0.16221,-0.232,20
158,-1.1977,-1.1244,-0.041687,0.59699,20
159,-1.2557,-1.0239,0.121,0.82184,20
160,-0.79629,-0.93265,0.071232,0.16295,20
161,-0.41343,-0.81976,0.04252,-0.33954,20
162,-0.6211,-0.77799,0.031058,0.063214,20
163,-0.44011,-0.73932,0.0023456,-0.19291,20
164,-0.80441,-0.77334,0.017666,0.37801,20
165,-0.12453,-0.70994,-0.047418,-0.68757,20
166,-0.19183,-0.795,-0.072273,-0.68169,20
167,-0.25449,-0.86306,-0.19092,-0.66213,20
168,-0.33338,-1.0022,-0.25408,-0.70514,20
169,-0.60137,-1.1415,-0.46074,-0.42948,20
170,-0.3357,-1.3054,-0.66167,-1.0844,20
171,-0.18719,-1.4369,-0.97926,-1.5009,20
172,-0.57353,-1.5328,-1.2931,-0.97105,20
173,-0.12685,-1.6039,-1.7313,-1.8137,20
174,-0.79165,-1.6534,-2.1312,-0.75599,20
175,-0.77309,-1.74,-2.5561,-0.89676,20
176,-1.7465,-1.7864,-2.4661,0.68496,20
177,-1.946,-1.8081,-2.1465,0.99388,20
178,-2.1247,-1.7648,-1.7198,1.3497,20
179,-2.3127,-1.6209,-1.2644,1.8483,20
180,-2.0052,-1.5235,-0.69799,1.4534,20
181,-1.3636,-1.3735,-0.16028,0.56181,20
182,-0.49348,-1.2466,-0.064612,-0.74425,20
183,-0.97264,-1.0533,0.098016,0.30763,20
184,-0.85546,-0.93421,0.14778,0.26069,20
185,-0.82181,-0.7981,0.21093,0.37604,20
186,-0.62458,-0.68364,0.22626,0.18836,20
187,-0.54453,-0.63879,0.31234,0.11015,20
188,-0.73364,-0.56145,0.43865,0.5266,20
189,-0.33453,-0.55372,0.34105,-0.13621,20
190,-0.41227,-0.5661,0.22047,-0.020849,20
191,-0.29973,-0.59548,0.090355,-0.24765,20
192,-0.079291,-0.64188,-0.049292,-0.67778,20
193,-0.14427,-0.75633,-0.2904,-0.71296,20
194,-0.059568,-0.97132,-0.7267,-1.1275,20
195,0.25601,-1.2466,-1.1381,-2.0073,20
196,-0.072328,-1.4848,-1.5878,-1.7551,20
197,0.22352,-1.6859,-2.2824,-2.5078,20
198,-1.7024,-1.8823,-2.6766,0.48946,20
199,-1.7917,-2.0447,-2.4489,0.43472,20
200,-1.9321,-2.1128,-2.3168,0.58525,20
201,-2.17,-2.1236,-2.0375,0.97238,20
202,-2.1746,-2.0107,-1.6739,1.1229,20
203,-2.3498,-1.8607,-1.2606,1.6078,20
204,-2.4716,-1.6704,-0.7095,2.0536,20
205,-1.4402,-1.4926,-0.19858,0.54028,20
206,-1.2233,-1.2822,-0.064612,0.4406,20
207,-1.2801,-1.0502,0.10953,0.82967,20
208,-0.758,-0.8414,0.16883,0.21377,20
209,-0.66518,-0.70838,0.26643,0.22551,20
210,-0.77193,-0.58929,0.38122,0.55593,20
211,-0.17326,-0.55681,0.4635,-0.41189,20
212,0.068051,-0.57847,0.32,-0.84593,20
213,-0.31945,-0.58001,0.20901,-0.19486,20
214,-0.18022,-0.55681,0.046378,-0.40015,20
215,0.24672,-0.58157,-0.10291,-1.1509,20
216,-0.072328,-0.63106,-0.38226,-0.67584,20
217,-0.031729,-0.79964,-0.6119,-0.95735,20
218,-0.081612,-1.0332,-0.99266,-1.1685,20
219,-0.17443,-1.3626,-1.4118,-1.4286,20
220,0.0042413,-1.655,-2.0107,-2.0992,20
221,-1.0434,-1.9071,-2.5618,-0.65237,20
222,-2.0505,-2.1097,-2.5388,0.78861,20
223,-1.9913,-2.2257,-2.3609,0.54223,20
224,-2.076,-2.1762,-2.1006,0.74755,20
225,-2.2384,-2.0231,-1.7485,1.2148,20
226,-2.2929,-1.7864,-1.3409,1.6059,20
227,-2.3533,-1.6101,-0.80324,1.9304,20
228,-1.685,-1.3518,-0.24835,1.1307,20
229,-1.1687,-1.1476,-0.039758,0.51878,20
230,-0.9332,-0.97132,0.19561,0.34478,20
231,-0.79629,-0.78109,0.27409,0.35454,20
232,-0.012006,-0.6063,0.35444,-0.7462,20
233,-0.758,-0.49804,0.44052,0.64782,20
234,-0.35425,-0.46093,0.40993,0.014331,20
235,-0.21387,-0.47794,0.3238,-0.24374,20
236,-0.020123,-0.45474,0.2052,-0.54092,20
237,-0.18836,-0.55062,0.1076,-0.37863,20
238,-0.31016,-0.64651,-0.0072435,-0.29456,20
239,-0.19415,-0.79037,-0.29998,-0.67192,20
240,-0.10133,-0.95122,-0.65015,-1.0317,20
241,-0.16863,-1.1152,-1.0482,-1.1255,20
242,0.1075,-1.2838,-1.5648,-1.804,20
243,-0.01316,-1.4663,-2.1599,-1.8313,20
244,-1.6351,-1.6457,-2.3188,0.6752,20
245,-2.0447,-1.7942,-2.0088,1.1777,20
246,-1.895,-1.9179,-1.6968,0.76905,20
247,-1.9101,-1.9535,-1.3065,0.74949,20
248,-2.1688,-1.938,-0.91231,1.2051,20
249,-2.3695,-1.8112,-0.44349,1.7036,20
250,-1.5643,-1.6611,-0.062684,0.53639,20
251,-1.4031,-1.491,0.010006,0.47969,20
252,-1.1919,-1.3178,0.13439,0.34283,20
253,-1.1652,-1.1569,0.32,0.50119,20
254,-0.4053,-0.98215,0.5018,-0.55851,20
255,-0.73016,-0.82439,0.47116,0.18836,20
256,-0.78004,-0.69447,0.56683,0.43666,20
257,-0.32641,-0.65889,0.57829,-0.28283,20
258,-0.79165,-0.62487,0.73332,0.54419,20
259,-1.0051,-0.64188,0.84811,0.88244,20
260,-0.020123,-0.64034,0.77542,-0.77555,20
261,-0.12685,-0.71613,0.58788,-0.69148,20
262,0.0030876,-0.80273,0.34105,-1.0199,20
263,-0.2278,-0.88935,0.04252,-0.74034,20
264,-0.18836,-0.98215,-0.26361,-0.92411,20
265,0.1922,-1.0904,-0.7095,-1.7023,20
266,0.1075,-1.2018,-1.1764,-1.7003,20
267,-0.37397,-1.3333,-1.6681,-1.0551,20
268,-1.3207,-1.4802,-1.8958,0.35454,20
269,-1.6722,-1.5946,-1.6911,0.80229,20
270,-1.8822,-1.754,-1.5093,0.95479,20
271,-1.9623,-1.8498,-1.2051,0.96849,20
272,-1.8556,-1.8436,-0.90657,0.79643,20
273,-1.9449,-1.7524,-0.58126,1.0623,20
274,-1.9936,-1.6457,-0.22917,1.2793,20
275,-1.1049,-1.5018,-0.0072435,-0.036496,20
276,-1.1165,-1.3534,0.0080769,0.17077,20
277,-1.2082,-1.2234,0.090355,0.48946,20
278,-1.0411,-1.0997,0.20901,0.36433,20
279,-0.7232,-0.95432,0.16883,0.012387,20
280,-0.758,-0.83212,0.21667,0.22551,20
281,-0.69187,-0.74242,0.25111,0.22745,20
282,0.23513,-0.63415,0.28175,-1.1979,20
283,-1.0214,-0.6295,0.38508,0.92547,20
284,-0.57586,-0.63725,0.48455,0.16489,20
285,0.075014,-0.64807,0.47496,-0.94564,20
286,0.047175,-0.69447,0.21474,-0.95737,20
287,-0.07697,-0.79347,-0.13923,-0.87331,20
288,0.2386,-0.85532,-0.44735,-1.4833,20
289,-0.020123,-0.94194,-0.95248,-1.1568,20
290,0.090095,-1.0378,-1.4232,-1.4637,20
291,0.2444,-1.2111,-1.8844,-1.9428,20
292,-0.67679,-1.4106,-2.4833,-0.6426,20
293,-1.9089,-1.5668,-2.3168,1.2363,20
294,-1.801,-1.6813,-1.9934,0.90982,20
295,-1.8022,-1.7756,-1.649,0.7925,20
296,-1.9658,-1.7462,-1.3065,1.1053,20
297,-2.2373,-1.7308,-0.98692,1.5824,20
298,-2.1131,-1.6642,-0.5698,1.4573,20
299,-1.4274,-1.5653,-0.29425,0.42689,20
300,-1.3752,-1.4168,-0.20812,0.5266,20
301,-1.1211,-1.2606,-0.070344,0.29589,20
302,-0.94016,-1.16,-0.11438,0.11798,20
303,-0.59094,-1.0255,-0.20431,-0.30044,20
304,-0.69536,-0.90482,-0.20624,0.028033,20
305,-0.62574,-0.78418,-0.12777,0.063214,20
306,-0.85431,-0.71457,0.015737,0.53639,20
307,-0.75453,-0.65116,0.13439,0.4484,20
308,-0.81022,-0.62022,0.31234,0.58137,20
309,-0.73828,-0.65735,0.47309,0.41319,20
310,-0.40298,-0.67436,0.64338,-0.17335,20
311,0.035569,-0.73467,0.32573,-0.98864,20
312,-0.074649,-0.83521,0.086553,-0.92999,20
313,0.017,-0.96669,-0.28086,-1.2506,20
314,0.013526,-1.1214,-0.69032,-1.4403,20
315,-0.14542,-1.3549,-1.163,-1.4677,20
316,0.13303,-1.5653,-1.7906,-2.2028,20
317,-1.1478,-1.7292,-2.2174,-0.25154,20
318,-1.7082,-1.8158,-2.026,0.58331,20
319,-1.9031,-1.7818,-1.6643,0.95479,20
320,-2.1665,-1.672,-1.2032,1.5374,20
321,-2.1734,-1.5451,-0.65588,1.7095,20
322,-2.1653,-1.3549,-0.024438,1.9363,20
323,-1.0887,-1.1925,0.40801,0.32719,20
324,-1.3242,-1.0487,0.59747,0.90591,20
325,-0.67911,-0.94348,0.64718,-0.048207,20
326,-0.70115,-0.85068,0.69694,0.10624,20
327,-0.53409,-0.80429,0.76396,-0.11665,20
328,-0.49464,-0.7548,0.84624,-0.12056,20
329,-0.52365,-0.71147,0.95144,-0.016915,20
330,-0.29508,-0.69137,1.0356,-0.37668,20
331,-0.18836,-0.73623,0.79261,-0.61325,20
332,-0.023598,-0.75324,0.67209,-0.9124,20
333,-0.1605,-0.84759,0.4176,-0.80096,20
334,-0.014314,-1.0456,0.036789,-1.2976,20
335,-0.083933,-1.2776,-0.41478,-1.4735,20
336,0.092416,-1.4647,-1.0348,-2.0073,20
337,0.064576,-1.6581,-1.5476,-2.2048,20
338,-1.4379,-1.7694,-1.9112,0.18639,20
339,-1.7987,-1.8375,-1.6873,0.70843,20
340,-2.214,-1.788,-1.4079,1.471,20
341,-2.1201,-1.6828,-0.96207,1.4455,20
342,-2.3579,-1.5498,-0.43776,2.0145,20
343,-2.2813,-1.4044,0.15158,2.0692,20
344,-1.2499,-1.2343,0.67975,0.54614,20
345,-0.91231,-1.0549,0.81367,0.20398,20
346,-0.72669,-0.85068,0.98208,0.14927,20
347,-0.67796,-0.70375,1.0395,0.25289,20
348,-0.6153,-0.62487,1.1313,0.24701,20
349,-0.1373,-0.55062,1.2614,-0.46466,20
350,-0.24984,-0.51661,1.1409,-0.232,20
351,-0.28929,-0.48876,1.0663,-0.13033,20
352,-0.070006,-0.47638,0.91127,-0.48422,20
353,-0.26028,-0.49648,0.83284,-0.18898,20
354,-0.090896,-0.56454,0.64145,-0.56046,20
355,0.042533,-0.7749,0.37163,-1.0512,20
356,-0.1431,-1.01,-0.037829,-1.0356,20
357,-0.025919,-1.2234,-0.46074,-1.5029,20
358,-0.0085179,-1.491,-0.95061,-1.8704,20
359,-0.2336,-1.7385,-1.5744,-1.804,20
360,-1.6792,-1.9241,-1.7543,0.39757,20
361,-1.8915,-2.0385,-1.5648,0.61069,20
362,-2.2489,-2.0277,-1.3697,1.2266,20
363,-2.0447,-1.9426,-1.0022,0.98997,20
364,-2.2245,-1.8112,-0.55255,1.4592,20
365,-2.2651,-1.6287,-0.0072435,1.7583,20
366,-1.5319,-1.4353,0.51519,0.76711,20
367,-1.4994,-1.1909,0.68928,1.0213,20
368,-0.73596,-0.9868,0.84431,-0.0071705,20
369,-0.57818,-0.78109,0.90361,-0.013026,20
370,-0.56078,-0.64034,1.0031,0.13557,20
371,-0.72088,-0.52124,1.1638,0.55593,20
372,-0.39139,-0.45474,1.2576,0.084739,20
373,-0.26376,-0.45009,1.1504,-0.12447,20
374,-0.30437,-0.44855,1.0911,-0.054086,20
375,-0.32062,-0.45937,1.0567,-0.040384,20
376,-0.020123,-0.47019,0.94378,-0.56046,20
377,-0.25332,-0.52124,0.84045,-0.232,20
378,0.013526,-0.62022,0.6166,-0.80681,20
379,-0.18603,-0.81357,0.37356,-0.71493,20
380,-0.030561,-1.0115,0.048252,-1.2272,20
381,0.23513,-1.2111,-0.4684,-1.9272,20
382,0.018168,-1.3843,-0.93529,-1.7805,20
383,-0.39834,-1.5498,-1.5246,-1.2878,20
384,-1.3683,-1.7029,-1.7906,0.15318,20
385,-1.8996,-1.771,-1.5974,0.96261,20
386,-1.8498,-1.7942,-1.4634,0.84923,20
387,-1.5562,-1.7586,-1.1745,0.39954,20
388,-1.9855,-1.6101,-0.85488,1.3106,20
389,-1.743,-1.474,-0.36887,1.0741,20
390,-1.9751,-1.3317,0.18988,1.645,20
391,-1.1339,-1.1476,0.64911,0.46013,20
392,-1.1409,-1.0084,0.80601,0.64784,20
393,-0.62574,-0.83521,0.82899,-0.0012916,20
394,-0.71972,-0.7285,0.79454,0.29198,20
395,-0.75105,-0.57538,0.88068,0.53834,20
396,-0.43895,-0.47947,0.92466,0.13362,20
397,-0.37165,-0.44236,1.0701,0.067126,20
398,-0.54802,-0.42689,1.2136,0.38389,20
399,-0.061889,-0.41607,1.1504,-0.42165,20
400,0.15043,-0.48257,0.98208,-0.86352,20
401,0.12142,-0.55372,0.74671,-0.90458,20
402,0.16436,-0.74242,0.39654,-1.2155,20
403,-0.0050431,-0.9605,-0.0033858,-1.2057,20
404,0.10866,-1.1786,-0.49898,-1.673,20
405,0.084299,-1.3595,-1.1228,-1.8607,20
406,0.020489,-1.5637,-1.7677,-2.0112,20
407,-1.7036,-1.7323,-1.982,0.68108,20
408,-1.8242,-1.8653,-1.7198,0.71626,20
409,-1.808,-1.887,-1.4711,0.66149,20
410,-1.96,-1.8421,-1.1247,0.97435,20
411,-2.1874,-1.7199,-0.69799,1.512,20
412,-2.098,-1.5451,-0.20624,1.5824,20
413,-2.1885,-1.3503,0.3621,1.9813,20
414,-1.1281,-1.1554,0.52666,0.4406,20
415,-1.0759,-0.96979,0.70268,0.5872,20
416,-0.76496,-0.81357,0.8194,0.26069,20
417,-0.57818,-0.68674,0.85577,0.10624,20
418,-0.7058,-0.62796,0.93617,0.3956,20
419,-0.92391,-0.58001,1.0471,0.82379,20
420,-0.13382,-0.51196,0.91893,-0.42165,20
421,-0.30437,-0.47794,0.82899,-0.091234,20
422,-0.22199,-0.4671,0.69887,-0.21636,20
423,-0.14195,-0.48566,0.54578,-0.37472,20
424,-0.12802,-0.50886,0.41952,-0.42751,20
425,-0.11641,-0.58464,0.13053,-0.54287,20
426,-0.095539,-0.74861,-0.093324,-0.78531,20
427,0.042533,-0.90792,-0.44542,-1.2194,20
428,-0.22431,-1.0518,-0.77839,-0.95152,20
429,-0.2452,-1.2219,-1.1457,-1.1314,20
430,-0.52016,-1.4291,-1.561,-0.92999,20
431,-1.4425,-1.5745,-1.5208,0.44057,20
432,-1.663,-1.6689,-1.3467,0.69279,20
433,-1.4936,-1.7199,-1.1725,0.34283,20
434,-1.6084,-1.6936,-0.98312,0.56963,20
435,-1.8996,-1.6333,-0.74968,1.1366,20
436,-1.9704,-1.4678,-0.45308,1.4651,20
437,-1.8173,-1.2714,-0.041687,1.4553,20
438,-1.75,-1.0332,0.46543,1.643,20
439,-0.56078,-0.90946,0.62806,-0.20462,20
440,-0.91115,-0.79037,0.66636,0.53637,20
441,-0.82413,-0.66508,0.76583,0.54811,20
442,-0.6675,-0.55216,0.79454,0.42689,20
443,-0.79629,-0.47638,0.88448,0.73973,20
444,-0.54337,-0.42844,1.0165,0.3741,20
445,-0.25332,-0.40369,0.90173,-0.083411,20
446,-0.15586,-0.36193,0.79074,-0.19486,20
447,-0.071174,-0.39441,0.61467,-0.37863,20
448,-0.11409,-0.41761,0.52666,-0.33562,20
449,0.07154,-0.51196,0.2683,-0.76772,20
450,0.13303,-0.69602,-0.043561,-1.104,20
451,0.20728,-0.90327,-0.47027,-1.4911,20
452,0.30589,-1.1384,-0.98119,-1.9545,20
453,-0.021277,-1.3951,-1.628,-1.7277,20
454,-0.98425,-1.6147,-2.0853,-0.38254,20
455,-1.7477,-1.7014,-1.9513,0.79446,20
456,-1.598,-1.7617,-1.7849,0.46601,20
457,-1.8393,-1.7447,-1.517,0.89417,20
458,-1.9031,-1.6225,-1.1457,1.1562,20
459,-1.9136,-1.4307,-0.67886,1.4162,20
460,-2.1421,-1.2497,-0.093324,2.0301,20
461,-1.2581,-1.0394,0.45397,0.8062,20
462,-0.90419,-0.87698,0.54385,0.41516,20
463,-0.25564,-0.68364,0.67016,-0.43339,20
464,-0.42619,-0.57229,0.62233,-0.0052032,20
465,-0.33453,-0.46556,0.68548,-0.024761,20
466,-0.40879,-0.43617,0.59935,0.13753,20
467,-0.45403,-0.44699,0.70653,0.20009,20
468,-0.20808,-0.48412,0.73139,-0.26133,20
469,-0.34381,-0.55062,0.73139,-0.11665,20
470,-0.10249,-0.6326,0.70461,-0.62695,20
471,-0.39951,-0.80738,0.53239,-0.34736,20
472,-0.40066,-0.97132,0.37356,-0.55266,20
473,-0.074649,-1.1229,0.17649,-1.2937,20
474,0.085452,-1.2683,-0.091396,-1.7473,20
475,-0.29161,0.43152,0.1248,1.0369,20
476,-0.34034,-0.27532,0.32959,0.22551,20
477,-0.14774,-0.69293,0.20901,-0.62695,20
478,-0.3937,-0.95432,0.011935,-0.54289,20
479,-0.59905,-1.0286,-0.21005,-0.29068,20
480,-0.50624,-1.0935,-0.41864,-0.52919,20
481,-0.39022,-1.0951,-0.71138,-0.72666,20
482,-0.14427,-1.0719,-0.95248,-1.1118,20
483,-0.61879,-1.0053,-1.1993,-0.22807,20
484,-0.23824,-0.90327,-1.3811,-0.74034,20
485,-0.69651,-0.82902,-1.494,0.1258,20
486,-0.80209,-0.73004,-1.3831,0.42884,20
487,-1.229,-0.66045,-1.0099,1.2363,20
488,-0.99933,-0.56919,-0.53536,0.96456,20
489,-1.5261,-0.46093,-0.047418,1.9891,20
490,-1.3462,-0.39131,0.50368,1.774,20
491,-0.59675,-0.32481,0.85197,0.59504,20
492,-0.42619,-0.25676,0.83665,0.39366,20
493,-0.22431,-0.24128,0.87489,0.073004,20
494,-0.16399,-0.24593,0.87109,-0.034528,20
